t,xi_err_norm,manipulability_w,damping_lambda
2.065000,0.00019599,0.05829071,0.00000000
2.070000,0.00019772,0.05833244,0.00000000
2.075000,0.00019946,0.05837294,0.00000000
2.080000,0.00020120,0.05841225,0.00000000
2.085000,0.00020294,0.05845038,0.00000000
2.090000,0.00020468,0.05848734,0.00000000
2.095000,0.00020643,0.05852315,0.00000000
2.100000,0.00020817,0.05855784,0.00000000
2.105000,0.00020991,0.05859142,0.00000000
2.110000,0.00021165,0.05862390,0.00000000
2.115000,0.00021339,0.05865530,0.00000000
2.120000,0.00021513,0.05868565,0.00000000
2.125000,0.00021686,0.05871496,0.00000000
2.130000,0.00021859,0.05874324,0.00000000
2.135000,0.00022032,0.05877052,0.00000000
2.140000,0.00022204,0.05879681,0.00000000
2.145000,0.00022376,0.05882213,0.00000000
2.150000,0.00022548,0.05884650,0.00000000
2.155000,0.00022718,0.05886993,0.00000000
2.160000,0.00022889,0.05889244,0.00000000
2.165000,0.00023058,0.05891405,0.00000000
2.170000,0.00023227,0.05893477,0.00000000
2.175000,0.00023395,0.05895463,0.00000000
2.180000,0.00023563,0.05897364,0.00000000
2.185000,0.00023729,0.05899181,0.00000000
2.190000,0.00023895,0.05900917,0.00000000
2.195000,0.00024060,0.05902572,0.00000000
2.200000,0.00024224,0.05904149,0.00000000
2.205000,0.00024387,0.05905650,0.00000000
2.210000,0.00024549,0.05907075,0.00000000
2.215000,0.00024710,0.05908427,0.00000000
2.220000,0.00024870,0.05909706,0.00000000
2.225000,0.00025029,0.05910916,0.00000000
2.230000,0.00025187,0.05912057,0.00000000
2.235000,0.00025343,0.05913131,0.00000000
2.240000,0.00025499,0.05914139,0.00000000
2.245000,0.00025653,0.05915083,0.00000000
2.250000,0.00025805,0.05915965,0.00000000
2.255000,0.00025957,0.05916786,0.00000000
2.260000,0.00026107,0.05917547,0.00000000
2.265000,0.00026255,0.05918251,0.00000000
2.270000,0.00026402,0.05918898,0.00000000
2.275000,0.00026548,0.05919490,0.00000000
2.280000,0.00026692,0.05920029,0.00000000
2.285000,0.00026835,0.05920516,0.00000000
2.290000,0.00026976,0.05920952,0.00000000
2.295000,0.00027115,0.05921339,0.00000000
2.300000,0.00027253,0.05921678,0.00000000
2.305000,0.00027389,0.05921971,0.00000000
2.310000,0.00027523,0.05922219,0.00000000
2.315000,0.00027656,0.05922423,0.00000000
2.320000,0.00027786,0.05922585,0.00000000
2.325000,0.00027915,0.05922706,0.00000000
2.330000,0.00028042,0.05922787,0.00000000
2.335000,0.00028167,0.05922830,0.00000000
2.340000,0.00028290,0.05922835,0.00000000
2.345000,0.00028411,0.05922805,0.00000000
2.350000,0.00028530,0.05922740,0.00000000
2.355000,0.00028647,0.05922642,0.00000000
2.360000,0.00028762,0.05922511,0.00000000
2.365000,0.00028875,0.05922350,0.00000000
2.370000,0.00028986,0.05922158,0.00000000
2.375000,0.00029094,0.05921938,0.00000000
2.380000,0.00029200,0.05921691,0.00000000
2.385000,0.00029304,0.05921417,0.00000000
2.390000,0.00029405,0.05921118,0.00000000
2.395000,0.00029505,0.05920794,0.00000000
2.400000,0.00029601,0.05920448,0.00000000
2.405000,0.00029696,0.05920079,0.00000000
2.410000,0.00029788,0.05919689,0.00000000
2.415000,0.00029877,0.05919280,0.00000000
2.420000,0.00029964,0.05918851,0.00000000
2.425000,0.00030048,0.05918404,0.00000000
2.430000,0.00030130,0.05917940,0.00000000
2.435000,0.00030209,0.05917460,0.00000000
2.440000,0.00030285,0.05916965,0.00000000
2.445000,0.00030359,0.05916456,0.00000000
2.450000,0.00030430,0.05915933,0.00000000
2.455000,0.00030498,0.05915398,0.00000000
2.460000,0.00030564,0.05914851,0.00000000
2.465000,0.00030626,0.05914293,0.00000000
2.470000,0.00030686,0.05913725,0.00000000
2.475000,0.00030743,0.05913148,0.00000000
2.480000,0.00030796,0.05912563,0.00000000
2.485000,0.00030847,0.05911970,0.00000000
2.490000,0.00030895,0.05911370,0.00000000
2.495000,0.00030940,0.05910764,0.00000000
2.500000,0.00030981,0.05910153,0.00000000
2.505000,0.00031020,0.05909537,0.00000000
2.510000,0.00031055,0.05908917,0.00000000
2.515000,0.00031088,0.05908294,0.00000000
2.520000,0.00031117,0.05907667,0.00000000
2.525000,0.00031143,0.05907039,0.00000000
2.530000,0.00031165,0.05906410,0.00000000
2.535000,0.00031184,0.05905779,0.00000000
2.540000,0.00031200,0.05905149,0.00000000
2.545000,0.00031213,0.05904518,0.00000000
2.550000,0.00031222,0.05903889,0.00000000
2.555000,0.00031228,0.05903261,0.00000000
2.560000,0.00031230,0.05902635,0.00000000
2.565000,0.00031228,0.05902011,0.00000000
2.570000,0.00031224,0.05901390,0.00000000
2.575000,0.00031215,0.05900772,0.00000000
2.580000,0.00031203,0.05900158,0.00000000
2.585000,0.00031188,0.05899549,0.00000000
2.590000,0.00031169,0.05898944,0.00000000
2.595000,0.00031146,0.05898344,0.00000000
2.600000,0.00031119,0.05897750,0.00000000
2.605000,0.00031089,0.05897161,0.00000000
2.610000,0.00031055,0.05896579,0.00000000
2.615000,0.00031017,0.05896003,0.00000000
2.620000,0.00030975,0.05895434,0.00000000
2.625000,0.00030930,0.05894872,0.00000000
2.630000,0.00030880,0.05894317,0.00000000
2.635000,0.00030827,0.05893770,0.00000000
2.640000,0.00030770,0.05893232,0.00000000
2.645000,0.00030709,0.05892701,0.00000000
2.650000,0.00030644,0.05892179,0.00000000
2.655000,0.00030574,0.05891666,0.00000000
2.660000,0.00030501,0.05891161,0.00000000
2.665000,0.00030424,0.05890666,0.00000000
2.670000,0.00030343,0.05890180,0.00000000
2.675000,0.00030257,0.05889703,0.00000000
2.680000,0.00030168,0.05889236,0.00000000
2.685000,0.00030074,0.05888779,0.00000000
2.690000,0.00029976,0.05888332,0.00000000
2.695000,0.00029874,0.05887894,0.00000000
2.700000,0.00029767,0.05887467,0.00000000
2.705000,0.00029657,0.05887050,0.00000000
2.710000,0.00029542,0.05886644,0.00000000
2.715000,0.00029423,0.05886247,0.00000000
2.720000,0.00029299,0.05885861,0.00000000
2.725000,0.00029171,0.05885486,0.00000000
2.730000,0.00029039,0.05885121,0.00000000
