t,q1,q2,q3,q4,q5,q6,q7
0.850000,0.12564584,0.61076387,0.06070597,-0.36143997,-0.06346298,0.20177150,0.10624942
0.855000,0.12662435,0.61570861,0.06135374,-0.36675744,-0.06393827,0.20433204,0.10708330
0.860000,0.12761280,0.62065794,0.06200449,-0.37205060,-0.06441227,0.20687843,0.10791976
0.865000,0.12861110,0.62561111,0.06265836,-0.37731809,-0.06488527,0.20940996,0.10875901
0.870000,0.12961921,0.63056743,0.06331549,-0.38255864,-0.06535754,0.21192596,0.10960124
0.875000,0.13063705,0.63552625,0.06397599,-0.38777112,-0.06582931,0.21442586,0.11044664
0.880000,0.13166458,0.64048700,0.06464000,-0.39295448,-0.06630083,0.21690910,0.11129538
0.885000,0.13270174,0.64544913,0.06530760,-0.39810779,-0.06677229,0.21937520,0.11214761
0.890000,0.13374850,0.65041215,0.06597890,-0.40323022,-0.06724388,0.22182371,0.11300346
0.895000,0.13480481,0.65537563,0.06665398,-0.40832102,-0.06771578,0.22425426,0.11386308
0.900000,0.13587063,0.66033915,0.06733292,-0.41337953,-0.06818815,0.22666648,0.11472657
0.905000,0.13694593,0.66530236,0.06801579,-0.41840518,-0.06866112,0.22906007,0.11559404
0.910000,0.13803067,0.67026492,0.06870266,-0.42339748,-0.06913483,0.23143477,0.11646560
0.915000,0.13912484,0.67522655,0.06939359,-0.42835600,-0.06960940,0.23379033,0.11734132
0.920000,0.14022839,0.68018699,0.07008862,-0.43328038,-0.07008493,0.23612657,0.11822128
0.925000,0.14134131,0.68514600,0.07078780,-0.43817034,-0.07056152,0.23844332,0.11910557
0.930000,0.14246358,0.69010339,0.07149118,-0.44302564,-0.07103924,0.24074044,0.11999424
0.935000,0.14359516,0.69505898,0.07219878,-0.44784611,-0.07151818,0.24301783,0.12088735
0.940000,0.14473604,0.70001262,0.07291063,-0.45263161,-0.07199840,0.24527541,0.12178495
0.945000,0.14588621,0.70496418,0.07362678,-0.45738208,-0.07247995,0.24751311,0.12268709
0.950000,0.14704564,0.70991356,0.07434722,-0.46209747,-0.07296289,0.24973091,0.12359380
0.955000,0.14821432,0.71486065,0.07507200,-0.46677780,-0.07344725,0.25192879,0.12450513
0.960000,0.14939223,0.71980540,0.07580111,-0.47142310,-0.07393309,0.25410676,0.12542110
0.965000,0.15057935,0.72474773,0.07653458,-0.47603345,-0.07442041,0.25626483,0.12634174
0.970000,0.15177568,0.72968762,0.07727240,-0.48060897,-0.07490926,0.25840305,0.12726707
